TrainCallNote;TrainCallNote.CallId;TrainCallNote.DisplayOrder;TrainCallNote.IsDriverNote;TrainCallNote.IsStationNote;TrainCallNote.IsShuntingNote;TrainCallNote.IsForArrival;TrainCallNote.IsForDeparture;TrainCallNote.TrainInfo
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5677;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5689;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5689;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5689;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5689;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5693;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5706;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5706;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5706;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5706;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5710;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5725;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5754;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5754;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5757;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5757;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5760;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5760;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5765;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5765;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5768;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5773;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5784;−303;True;True;False;True;False;"  0 Dagl"
